y_true,y_pred
0,0.513483
1,0.52975094
1,0.513483
0,0.49731347
0,0.4736919
0,0.49731347
0,0.49731347
0,0.49731347
0,0.49731347
1,0.49731347
1,0.513483
1,0.513483
1,0.49731347
0,0.513483
0,0.49731347
1,0.49731347
0,0.49731347
1,0.513483
1,0.52975094
0,0.513483
0,0.513483
0,0.513483
1,0.52975094
0,0.49731347
1,0.52975094
1,0.49731347
1,0.513483
0,0.49731347
0,0.513483
1,0.52975094
1,0.52975094
0,0.49731347
1,0.49731347
0,0.49731347
0,0.513483
1,0.52975094
0,0.513483
1,0.52975094
1,0.49731347
0,0.513483
1,0.49731347
1,0.513483
1,0.49731347
0,0.513483
1,0.52975094
0,0.513483
0,0.513483
0,0.513483
0,0.49731347
0,0.49731347
0,0.49731347
0,0.52975094
1,0.52975094
1,0.52975094
1,0.513483
1,0.513483
0,0.4736919
0,0.4736919
1,0.52975094
1,0.49731347
1,0.52975094
0,0.49731347
1,0.5123769
1,0.49731347
0,0.5123769
1,0.49731347
1,0.52975094
0,0.49731347
0,0.49731347
0,0.4736919
0,0.49731347
1,0.49731347
1,0.513483
0,0.49731347
1,0.49731347
1,0.52975094
0,0.52975094
1,0.49731347
1,0.52975094
0,0.49731347
